reportId,metricName,metricValue,evidenceLevel,claimBoundaryNote
stage-2-mesh-constrained,stage2MeshConstrainedRelativeError,0.019640136609986,abstract_mesh_simulation,simulation-only; not hardware evidence
stage-2-mesh-constrained,stage2MeshErrorDelta,0.019640136609985,abstract_mesh_simulation,simulation-only; not hardware evidence
matrix-family-analysis,matrixFamilyBestCase,"{""caseId"":""identity_4x4"",""errorDelta"":0.0,""matrixFamily"":""identity"",""meshConstrainedReconstructionError"":0.0,""realOrComplex"":""real"",""shape"":[4,4]}",abstract_matrix_family_analysis,simulation-only; not hardware evidence
matrix-family-analysis,matrixFamilyWorstCase,"{""caseId"":""rectangular_tall_8x4"",""errorDelta"":0.099951757092972,""matrixFamily"":""rectangular_tall"",""meshConstrainedReconstructionError"":0.099951757092972,""realOrComplex"":""real"",""shape"":[8,4]}",abstract_matrix_family_analysis,simulation-only; not hardware evidence
matrix-family-analysis,matrixFamilyAverageMeshConstrainedError,0.045353461797016,abstract_matrix_family_analysis,simulation-only; not hardware evidence
matrix-family-analysis,matrixFamilyMaxErrorDelta,0.099951757092972,abstract_matrix_family_analysis,simulation-only; not hardware evidence
layer-stack-inference-demo,layerStackPrimaryOutputRelativeError,0.061296868009442,abstract_layer_stack_inference_simulation,simulation-only; not hardware evidence
layer-stack-inference-demo,layerStackMaxOutputRelativeError,0.061296868009442,abstract_layer_stack_inference_simulation,simulation-only; not hardware evidence
scaling-analysis,scalingAverageMeshConstrainedError,0.098272171267003,abstract_scaling_analysis,simulation-only; not hardware evidence
scaling-analysis,scalingMaxMeshConstrainedError,0.141428486997061,abstract_scaling_analysis,simulation-only; not hardware evidence
scaling-analysis,scalingBestCase,"{""caseId"":""phase_dominant_complex_8x8"",""errorDelta"":0.026860550074221,""matrixFamily"":""phase_dominant_complex"",""meshConstrainedReconstructionError"":0.026860550074221,""parameterCount"":64,""realOrComplex"":""complex"",""shape"":[8,8]}",abstract_scaling_analysis,simulation-only; not hardware evidence
scaling-analysis,scalingWorstCase,"{""caseId"":""dense_seeded_16x16"",""errorDelta"":0.14142848699706,""matrixFamily"":""dense_seeded"",""meshConstrainedReconstructionError"":0.141428486997061,""parameterCount"":256,""realOrComplex"":""real"",""shape"":[16,16]}",abstract_scaling_analysis,simulation-only; not hardware evidence
model-suitability-profile,modelSuitabilityScore,87.647,model_suitability_profile_simulation,simulation-only; not hardware evidence
model-suitability-profile,modelSuitabilityClass,good_candidate,model_suitability_profile_simulation,simulation-only; not hardware evidence
hardware-scenario-analysis,bestLatencyScenario,"{""estimatedEndToEndLatencyNs"":0.025,""estimatedEnergyPerInferencePj"":0.128125,""measuredHardwarePerformance"":false,""parametricEstimateOnly"":true,""scenarioId"":""ideal_optical_core_only""}",parametric_hardware_scenario_analysis,simulation-only; not hardware evidence
hardware-scenario-analysis,bestEnergyScenario,"{""estimatedEndToEndLatencyNs"":0.025,""estimatedEnergyPerInferencePj"":0.128125,""measuredHardwarePerformance"":false,""parametricEstimateOnly"":true,""scenarioId"":""ideal_optical_core_only""}",parametric_hardware_scenario_analysis,simulation-only; not hardware evidence
hardware-requirements-analysis,requirementsMetCount,7,simulation_derived_hardware_requirements_analysis,simulation-only; not hardware evidence
hardware-requirements-analysis,requirementsUnmetCount,5,simulation_derived_hardware_requirements_analysis,simulation-only; not hardware evidence
error-budget-report,errorBudgetDominantContributor,"{""component"":""perturbationError"",""errorValue"":0.370308698767234,""foundryCalibrated"":false,""hardwareValidated"":false,""measuredTransferMatrixAvailable"":false,""productionInferenceReady"":false,""simulationOnly"":true,""sourceReport"":""stage-3-sweep-analysis.json""}",simulation_error_budget,simulation-only; not hardware evidence
error-budget-report,errorBudgetRssEnvelope,0.413071539277794,simulation_error_budget,simulation-only; not hardware evidence
model-to-hrm-decision-report,modelToHrmDecision,blocked_by_missing_hardware_evidence,simulation_only_model_to_hrm_decision,simulation-only; not hardware evidence
model-portfolio-ranking,modelPortfolioBestCandidate,low_rank_adapter_demo,model_portfolio_ranking_simulation,simulation-only; not hardware evidence
model-portfolio-ranking,modelPortfolioWorstCandidate,transformer_block_manifest_only,model_portfolio_ranking_simulation,simulation-only; not hardware evidence
hardware-design-space-analysis,designSpaceParetoCandidateCount,4,hardware_design_space_analysis,simulation-only; not hardware evidence
transfer-matrix-ingestion-sandbox,transferMatrixSandboxValidationPassed,True,synthetic_transfer_matrix_ingestion_sandbox,simulation-only; not hardware evidence
stage-3-sweep-analysis,perturbationTopSensitivity,"{""maxErrorDelta"":0.370308698767234,""maxPerturbedRelativeError"":0.38994883537722,""sweepParameter"":""phase_quantization_bits""}",uncalibrated_perturbation_simulation,simulation-only; not hardware evidence
stage-4-simulated-calibration,calibrationPreRelativeError,0.066879533355693,synthetic_calibration_simulation,simulation-only; not hardware evidence
stage-4-simulated-calibration,calibrationPostRelativeError,0.000112458773944,synthetic_calibration_simulation,simulation-only; not hardware evidence
stage-4-calibration-analysis,calibrationBestPostRelativeError,0.0,synthetic_calibration_simulation,simulation-only; not hardware evidence
stage-4-calibration-analysis,calibrationWorstPostRelativeError,0.024641168630069,synthetic_calibration_simulation,simulation-only; not hardware evidence
stage-4-calibration-analysis,calibrationFailureCaseCount,0,synthetic_calibration_simulation,simulation-only; not hardware evidence
review-pack-summary,blockedHardwareGateCount,3,simulation_review_pack,simulation-only; not hardware evidence
